Company Name,Job Title,Location,job_category,salary_in_inr
Thoughtworks,Data Scientist,Bangalore,Data Scientist,865467.0
Prognos Health,Data Scientist,Bangalore,Data Scientist,1588164.0
TECH I.S,Data Scientist,Bangalore,Data Scientist,793932.0
Virtusa,Data Scientist,Bangalore,Data Scientist,481741.0
Zeta Suite,Data Scientist,Bangalore,Data Scientist,1277486.0
Halliburton,Data Scientist,Bangalore,Data Scientist,820544.0
Apar Technologies,Data Scientist,Bangalore,Data Scientist,1624875.0
DataMites,Data Scientist,Bangalore,Data Scientist,529123.0
Cerner,Data Scientist,Bangalore,Data Scientist,1392815.0
Juniper Networks,Data Scientist,Bangalore,Data Scientist,2561949.0
Idexcel,Data Scientist,Bangalore,Data Scientist,709784.0
L&T Technology Services,Data Scientist,Bangalore,Data Scientist,555530.0
Tiger Analytics,Data Scientist,Bangalore,Data Scientist,631299.0
Capital One,Data Scientist,Bangalore,Data Scientist,1588612.0
Zeotap,Data Scientist,Bangalore,Data Scientist,902280.0
Bright Money,Data Scientist,Bangalore,Data Scientist,2739727.0
Hakkasan Group,Data Scientist,Bangalore,Data Scientist,589007.0
Thoucentric,Data Scientist,Bangalore,Data Scientist,480000.0
SelfEmployed.com,Data Scientist,Bangalore,Data Scientist,601956.0
The Smart Cube,Data Scientist,Bangalore,Data Scientist,1003261.0
Standard Chartered Global Business Services,Data Scientist,Bangalore,Data Scientist,2682633.0
Ambee (India),Data Scientist,Bangalore,Data Scientist,920903.0
Intuit,Data Scientist,Bangalore,Data Scientist,3095345.0
Diageo,Data Scientist,Bangalore,Data Scientist,1659175.0
Robosoft Technologies,Data Scientist,Bangalore,Data Scientist,128460.0
Perpule,Data Scientist,Bangalore,Data Scientist,1292428.0
WyzMindz,Data Scientist,Bangalore,Data Scientist,421444.0
Tavant,Data Scientist,Bangalore,Data Scientist,561186.0
Nabler Web Solutions,Data Scientist,Bangalore,Data Scientist,811182.0
Mahindra,Data Scientist,Bangalore,Data Scientist,1079751.0
noon,Data Scientist,Bangalore,Data Scientist,608387.0
Biocon,Data Scientist,Bangalore,Data Scientist,507740.0
Snipe Tech Pvt Ltd.,Data Scientist,Bangalore,Data Scientist,399840.0
dAlchemy,Data Scientist,Bangalore,Data Scientist,600000.0
Hewlett-Packard,Data Scientist,Bangalore,Data Scientist,2204142.0
WayCool Foods & Products,Data Scientist,Bangalore,Data Scientist,830984.0
Ithink Technologies,Data Scientist,Bangalore,Data Scientist,313195.0
The Goddard School,Data Scientist,Bangalore,Data Scientist,300000.0
Volvo Group,Data Scientist,Bangalore,Data Scientist,1200000.0
Freshers.com,Data Scientist,Bangalore,Data Scientist,554844.0
Exalca Technologies,Data Scientist,Bangalore,Data Scientist,353277.0
Shenzyn,Data Scientist,Bangalore,Data Scientist,588795.0
Panasonic,Data Scientist,Bangalore,Data Scientist,1924646.0
Spottabl,Data Scientist,Bangalore,Data Scientist,321161.0
NightLight Pediatric Urgent Care,Data Scientist,Bangalore,Data Scientist,660000.0
Ankit R Jain & Associates,Data Scientist,Bangalore,Data Scientist,600000.0
subodh singh,Data Scientist,Bangalore,Data Scientist,1203913.0
Trinity Mobility,Data Scientist,Bangalore,Data Scientist,636742.0
CronLabs Solutions,Data Scientist,Bangalore,Data Scientist,370227.0
SOTI,Data Scientist,Bangalore,Data Scientist,703427.0
CoRover,Data Scientist,Bangalore,Data Scientist,1999227.0
iOPEX Technologies,Data Scientist,Bangalore,Data Scientist,750000.0
Alfonso & Associates Consulting,Data Scientist,Bangalore,Data Scientist,3530641.0
iQuanti,Data Scientist,Bangalore,Data Scientist,361764.0
EdgeVerve Systems,Data Scientist,Bangalore,Data Scientist,1148909.0
Cimpress,Data Scientist,Bangalore,Data Scientist,502448.0
Affle,Data Scientist,Bangalore,Data Scientist,933286.0
Qualcomm,Data Scientist,Bangalore,Data Scientist,1541568.0
Monty Telecom Development,Data Scientist,Bangalore,Data Scientist,683496.0
Philips Lighting,Data Scientist,Bangalore,Data Scientist,1023226.0
ABC,Data Scientist,Bangalore,Data Scientist,2000000.0
Vervenest,Data Scientist,Bangalore,Data Scientist,341109.0
Avail Finance,Data Scientist,Bangalore,Data Scientist,250560.0
YDI Solutions,Data Scientist,Bangalore,Data Scientist,366410.0
AIEnterprise,Data Scientist,Bangalore,Data Scientist,712525.0
GE Power,Data Scientist,Bangalore,Data Scientist,1269350.0
GLOBALFOUNDRIES,Data Scientist,Bangalore,Data Scientist,902940.0
Applied Data Finance,Data Scientist,Bangalore,Data Scientist,495660.0
Ramus Musik,Data Scientist,Bangalore,Data Scientist,800000.0
Trendwise Analytics,Data Scientist,Bangalore,Data Scientist,481017.0
Anonymous,Data Scientist,Bangalore,Data Scientist,1070536.0
DocOn Technologies,Data Scientist,Bangalore,Data Scientist,2141072.0
HackerEarth,Data Scientist,Bangalore,Data Scientist,1688220.0
Quadrant 4 Systems,Data Scientist,Bangalore,Data Scientist,1026478.0
MARS WEB Solution,Data Scientist,Bangalore,Data Scientist,1031782.0
Verizon,Data Scientist,Bangalore,Data Scientist,1004895.0
LivNSense,Data Scientist,Bangalore,Data Scientist,410994.0
Inflexion Analytics,Data Scientist,Bangalore,Data Scientist,601957.0
Arcadix,Data Scientist,Bangalore,Data Scientist,634675.0
Algebra Software Analytics,Data Scientist,Bangalore,Data Scientist,1078947.0
Vedantu,Data Scientist,Bangalore,Data Scientist,700000.0
Automation Anywhere,Data Scientist,Bangalore,Data Scientist,3200000.0
yellow.ai,Data Scientist,Bangalore,Data Scientist,410994.0
IBM Interactive Experience,Data Scientist,Bangalore,Data Scientist,803916.0
TEKsystems,Data Scientist,Bangalore,Data Scientist,1134960.0
Acalvio,Data Scientist,Bangalore,Data Scientist,2442736.0
Nucleus Software Exports,Data Scientist,Bangalore,Data Scientist,306968.0
Genesis Group Software Developers,Data Scientist,Bangalore,Data Scientist,207746.0
PokerStars,Data Scientist,Bangalore,Data Scientist,208801.0
XYZ,Data Scientist,Bangalore,Data Scientist,2676340.0
The Self Employed Association,Data Scientist,Bangalore,Data Scientist,342781.0
AJIO,Data Scientist,Bangalore,Data Scientist,180000.0
---,Data Scientist,Bangalore,Data Scientist,120000.0
Bounce,Data Scientist,Bangalore,Data Scientist,1855822.0
Goldman Sachs,Data Scientist,Bangalore,Data Scientist,1465644.0
Algo8.ai,Data Scientist,Bangalore,Data Scientist,146564.0
Saisree Engineers,Data Scientist,Bangalore,Data Scientist,450000.0
Xenon Automotive,Data Scientist,Bangalore,Data Scientist,425088.0
Wipro,Data Scientist,Bangalore,Data Scientist,307944.0
ALTEN,Data Scientist,Bangalore,Data Scientist,1461604.0
Diverse Lynx,Data Scientist,Bangalore,Data Scientist,1102652.0
Hyperthink Systems,Data Scientist,Bangalore,Data Scientist,1003261.0
TBM Technologies Pvt,Data Scientist,Bangalore,Data Scientist,502448.0
Red Hat,Data Scientist,Bangalore,Data Scientist,990712.0
Adobe,Data Scientist,Bangalore,Data Scientist,1216776.0
Altimetrik,Data Scientist,Bangalore,Data Scientist,546456.0
Informatica,Data Scientist,Bangalore,Data Scientist,742332.0
Falabella,Data Scientist,Bangalore,Data Scientist,1605217.0
Toastmasters International,Data Scientist,Bangalore,Data Scientist,818581.0
KYC Hub,Data Scientist,Bangalore,Data Scientist,202796.0
National Institute of Technology Karnataka,Data Scientist,Bangalore,Data Scientist,514600.0
Texas Instruments,Data Scientist,Bangalore,Data Scientist,1176880.0
Blackstraw,Data Scientist,Bangalore,Data Scientist,1000000.0
G2,Data Scientist,Bangalore,Data Scientist,1605804.0
EdGe Networks,Data Scientist,Bangalore,Data Scientist,1832052.0
